nh,clust,Unit_of_plot_area,Land_owned_by_HH
1,4002,1.74980057982641e+100,1.74980057982641e+100
2,4002,1.74980057982641e+100,1.74980057982641e+100
3,4002,1.74980057982641e+100,1.74980057982641e+100
4,4002,3,6
5,4002,1.74980057982641e+100,1.74980057982641e+100
6,4002,1.74980057982641e+100,1.74980057982641e+100
7,4002,1.74980057982641e+100,1.74980057982641e+100
8,4002,1.74980057982641e+100,1.74980057982641e+100
9,4002,2,2
11,4002,2,12
12,4002,2,4
13,4002,1.74980057982641e+100,1.74980057982641e+100
14,4002,1.74980057982641e+100,1.74980057982641e+100
16,4002,1.74980057982641e+100,1.74980057982641e+100
17,4002,2,10
18,4002,1.74980057982641e+100,1.74980057982641e+100
19,4002,1.74980057982641e+100,1.74980057982641e+100
1,4005,2,8
2,4005,1.74980057982641e+100,1.74980057982641e+100
3,4005,1.74980057982641e+100,1.74980057982641e+100
4,4005,1.74980057982641e+100,1.74980057982641e+100
5,4005,1.74980057982641e+100,1.74980057982641e+100
6,4005,1.74980057982641e+100,1.74980057982641e+100
7,4005,1.74980057982641e+100,1.74980057982641e+100
8,4005,2,4
9,4005,1.74980057982641e+100,1.74980057982641e+100
11,4005,2,1600
12,4005,2,8
13,4005,1.74980057982641e+100,1.74980057982641e+100
14,4005,2,8
15,4005,1.74980057982641e+100,1.74980057982641e+100
16,4005,2,3
17,4005,2,40
18,4005,1.74980057982641e+100,1.74980057982641e+100
19,4005,2,20
20,4005,2,20
1,4009,1,5
2,4009,1,6
3,4009,3,6
4,4009,1.74980057982641e+100,1.74980057982641e+100
5,4009,1.74980057982641e+100,1.74980057982641e+100
6,4009,3,4
7,4009,1.74980057982641e+100,1.74980057982641e+100
8,4009,3,4
9,4009,1,10
11,4009,1.74980057982641e+100,1.74980057982641e+100
12,4009,1.74980057982641e+100,1.74980057982641e+100
13,4009,3,12
14,4009,1.74980057982641e+100,1.74980057982641e+100
15,4009,1,5
16,4009,1.74980057982641e+100,1.74980057982641e+100
17,4009,1.74980057982641e+100,1.74980057982641e+100
18,4009,1.74980057982641e+100,1.74980057982641e+100
19,4009,1.74980057982641e+100,1.74980057982641e+100
20,4009,1.74980057982641e+100,1.74980057982641e+100
21,4009,1.74980057982641e+100,1.74980057982641e+100
1,4012,1.74980057982641e+100,1.74980057982641e+100
3,4012,2,3
5,4012,1.74980057982641e+100,1.74980057982641e+100
6,4012,1.74980057982641e+100,1.74980057982641e+100
7,4012,1.74980057982641e+100,1.74980057982641e+100
8,4012,1.74980057982641e+100,1.74980057982641e+100
9,4012,1.74980057982641e+100,1.74980057982641e+100
10,4012,1.74980057982641e+100,1.74980057982641e+100
11,4012,1.74980057982641e+100,1.74980057982641e+100
12,4012,1.74980057982641e+100,1.74980057982641e+100
13,4012,1.74980057982641e+100,1.74980057982641e+100
14,4012,1.74980057982641e+100,1.74980057982641e+100
15,4012,1.74980057982641e+100,1.74980057982641e+100
16,4012,1.74980057982641e+100,1.74980057982641e+100
17,4012,1.74980057982641e+100,1.74980057982641e+100
18,4012,1.74980057982641e+100,1.74980057982641e+100
19,4012,1.74980057982641e+100,1.74980057982641e+100
20,4012,1.74980057982641e+100,1.74980057982641e+100
13,4015,2,4
1,4019,1.74980057982641e+100,1.74980057982641e+100
3,4019,1.74980057982641e+100,1.74980057982641e+100
4,4019,1.74980057982641e+100,1.74980057982641e+100
5,4019,1.74980057982641e+100,1.74980057982641e+100
6,4019,1.74980057982641e+100,1.74980057982641e+100
7,4019,1.74980057982641e+100,1.74980057982641e+100
9,4019,1.74980057982641e+100,1.74980057982641e+100
10,4019,1.74980057982641e+100,1.74980057982641e+100
11,4019,1.74980057982641e+100,1.74980057982641e+100
12,4019,1.74980057982641e+100,1.74980057982641e+100
13,4019,1.74980057982641e+100,1.74980057982641e+100
15,4019,1,6
16,4019,1.74980057982641e+100,1.74980057982641e+100
17,4019,1.74980057982641e+100,1.74980057982641e+100
18,4019,1.74980057982641e+100,1.74980057982641e+100
19,4019,1.74980057982641e+100,1.74980057982641e+100
20,4019,2,1
1,4022,1.74980057982641e+100,1.74980057982641e+100
2,4022,1.74980057982641e+100,1.74980057982641e+100
3,4022,1.74980057982641e+100,1.74980057982641e+100
4,4022,1.74980057982641e+100,1.74980057982641e+100
5,4022,1.74980057982641e+100,1.74980057982641e+100
6,4022,1.74980057982641e+100,1.74980057982641e+100
7,4022,1.74980057982641e+100,1.74980057982641e+100
8,4022,1.74980057982641e+100,1.74980057982641e+100
9,4022,1.74980057982641e+100,1.74980057982641e+100
10,4022,1.74980057982641e+100,1.74980057982641e+100
11,4022,1.74980057982641e+100,1.74980057982641e+100
12,4022,1.74980057982641e+100,1.74980057982641e+100
13,4022,1.74980057982641e+100,1.74980057982641e+100
14,4022,1.74980057982641e+100,1.74980057982641e+100
15,4022,1.74980057982641e+100,1.74980057982641e+100
16,4022,1.74980057982641e+100,1.74980057982641e+100
17,4022,1.74980057982641e+100,1.74980057982641e+100
18,4022,1.74980057982641e+100,1.74980057982641e+100
19,4022,1.74980057982641e+100,1.74980057982641e+100
20,4022,1.74980057982641e+100,1.74980057982641e+100
1,4025,1.74980057982641e+100,1.74980057982641e+100
2,4025,1.74980057982641e+100,1.74980057982641e+100
3,4025,1.74980057982641e+100,1.74980057982641e+100
6,4025,1.74980057982641e+100,1.74980057982641e+100
7,4025,1.74980057982641e+100,1.74980057982641e+100
8,4025,1.74980057982641e+100,1.74980057982641e+100
10,4025,1.74980057982641e+100,1.74980057982641e+100
12,4025,1.74980057982641e+100,1.74980057982641e+100
13,4025,1.74980057982641e+100,1.74980057982641e+100
14,4025,1.74980057982641e+100,1.74980057982641e+100
15,4025,1.74980057982641e+100,1.74980057982641e+100
17,4025,1.74980057982641e+100,1.74980057982641e+100
1,4029,1.74980057982641e+100,1.74980057982641e+100
2,4029,1.74980057982641e+100,1.74980057982641e+100
3,4029,1.74980057982641e+100,1.74980057982641e+100
4,4029,1.74980057982641e+100,1.74980057982641e+100
5,4029,1.74980057982641e+100,1.74980057982641e+100
7,4029,1.74980057982641e+100,1.74980057982641e+100
8,4029,1.74980057982641e+100,1.74980057982641e+100
10,4029,1.74980057982641e+100,1.74980057982641e+100
11,4029,1.74980057982641e+100,1.74980057982641e+100
12,4029,1.74980057982641e+100,1.74980057982641e+100
13,4029,1.74980057982641e+100,1.74980057982641e+100
14,4029,1.74980057982641e+100,1.74980057982641e+100
15,4029,1.74980057982641e+100,1.74980057982641e+100
16,4029,1.74980057982641e+100,1.74980057982641e+100
19,4029,1.74980057982641e+100,1.74980057982641e+100
1,4032,1.74980057982641e+100,1.74980057982641e+100
2,4032,1.74980057982641e+100,1.74980057982641e+100
3,4032,1.74980057982641e+100,1.74980057982641e+100
4,4032,1.74980057982641e+100,1.74980057982641e+100
5,4032,1.74980057982641e+100,1.74980057982641e+100
6,4032,1.74980057982641e+100,1.74980057982641e+100
7,4032,1.74980057982641e+100,1.74980057982641e+100
8,4032,1.74980057982641e+100,1.74980057982641e+100
9,4032,1.74980057982641e+100,1.74980057982641e+100
10,4032,1.74980057982641e+100,1.74980057982641e+100
11,4032,1.74980057982641e+100,1.74980057982641e+100
12,4032,1.74980057982641e+100,1.74980057982641e+100
13,4032,1.74980057982641e+100,1.74980057982641e+100
14,4032,1.74980057982641e+100,1.74980057982641e+100
15,4032,1.74980057982641e+100,1.74980057982641e+100
16,4032,1.74980057982641e+100,1.74980057982641e+100
17,4032,1.74980057982641e+100,1.74980057982641e+100
19,4032,1.74980057982641e+100,1.74980057982641e+100
20,4032,1.74980057982641e+100,1.74980057982641e+100
1,4035,1.74980057982641e+100,1.74980057982641e+100
2,4035,1.74980057982641e+100,1.74980057982641e+100
3,4035,1.74980057982641e+100,1.74980057982641e+100
4,4035,1.74980057982641e+100,1.74980057982641e+100
6,4035,1.74980057982641e+100,1.74980057982641e+100
8,4035,1.74980057982641e+100,1.74980057982641e+100
